IQ,CGPA,10th_Marks,12th_Marks,Communication_Skills,Placed
118,9.59,69,73,4.77,0
104,5.17,57,50,7.76,0
134,9.63,58,93,1.91,1
154,3.08,70,84,3.5,0
98,5.87,99,86,3.49,1
90,4.16,99,51,4.89,1
97,6.32,58,93,9.82,0
152,3.3,88,60,1.61,0
100,8.73,85,93,5.67,1
97,8.77,58,50,2.61,0
124,9.64,61,78,9.74,1
124,3.24,63,67,2.02,0
122,6.99,84,44,4.63,0
94,5.79,51,56,7.64,0
130,4.76,69,95,7.34,1
117,4.81,97,59,4.8,0
96,5.3,77,80,4.12,1
101,7.64,92,85,4.58,0
123,6.79,70,97,3.38,1
122,5.68,75,51,2.85,0
137,2.61,58,45,5.35,1
112,2.62,87,56,3.42,1
151,2.02,84,90,3.59,1
126,9.74,75,58,6.91,1
133,2.04,69,65,9.72,1
124,2.82,94,87,6.43,1
154,4.52,88,83,1.69,0
136,8.46,94,83,1.68,1
92,9.7,72,91,9.56,1
90,8.32,57,71,3.68,1
94,7.52,91,45,1.83,0
103,6.17,88,94,6.39,0
116,2.69,98,97,6.61,0
98,9.67,67,75,6.84,1
104,8.07,98,77,3.41,0
131,7.11,86,50,1.14,0
140,8.07,50,72,9.69,1
152,7.79,96,63,3.26,1
141,7.1,99,62,7.08,0
93,9.84,93,54,7.36,1
112,9.23,84,66,6.49,1
104,7.17,72,50,3.82,1
132,7.55,56,96,3.44,1
118,2.41,45,90,6.38,0
125,7.36,43,89,8.79,1
102,2.35,59,56,9.52,0
121,6.71,87,90,1.95,0
148,9.99,86,92,2.39,0
117,6.45,66,53,9.5,0
155,5.79,54,66,7.63,1
131,4.5,45,57,8.95,1
134,2.96,86,67,2.82,1
151,7.85,53,90,6.29,0
146,3.54,99,86,7.31,0
95,2.92,50,86,7.12,0
117,5.37,78,43,4.67,1
117,8.36,48,46,1.14,0
133,7.96,65,84,6.25,1
119,2.44,55,74,3.28,1
151,5.64,44,87,5.05,1
151,6.18,96,48,9.62,1
90,7.16,91,47,4.59,0
116,7.2,49,91,8.56,1
151,4.92,89,84,2.7,0
92,6.49,42,56,7.05,1
159,5.85,52,56,9.79,0
116,9.08,82,88,1.92,0
98,6.24,88,72,1.07,1
151,5.53,69,71,4.9,1
126,5.24,93,47,1.83,1
140,6.58,84,58,7.74,0
133,8.43,45,77,9.23,1
113,6.31,56,42,4.91,1
148,7.29,98,98,3.33,0
121,7.9,84,44,4.91,1
141,6.16,90,52,7.51,0
151,5.41,92,86,1.08,1
147,9.01,58,85,6.31,0
141,5.34,81,70,6.52,0
101,5.7,74,94,6.74,1
128,9.92,85,55,3.18,0
91,2.0,65,89,7.43,1
92,3.48,90,71,1.82,1
145,5.07,44,61,2.79,0
148,9.46,68,68,8.9,1
91,2.56,76,61,7.65,0
91,2.08,59,82,1.12,0
143,2.42,88,42,3.24,0
90,2.71,60,93,2.93,0
108,2.3,49,49,3.44,0
91,5.84,44,81,3.23,0
142,6.65,75,60,1.56,0
133,4.17,45,55,5.13,0
121,5.19,65,51,7.59,1
159,2.73,43,41,6.46,1
121,4.69,78,80,7.06,0
157,6.18,78,63,1.73,1
144,7.86,89,74,9.56,1
145,2.03,74,95,8.55,1
106,5.74,40,69,8.25,1
127,4.38,63,96,8.41,1
113,8.82,96,69,9.39,1
158,7.72,75,86,5.9,0
159,6.71,45,74,2.8,1
100,4.22,80,58,6.55,1
105,9.28,93,89,7.69,1
148,2.36,85,47,7.64,1
159,2.88,99,65,5.69,0
92,5.13,83,88,1.62,0
109,3.0,99,79,4.34,0
148,9.65,96,46,9.29,0
125,8.38,70,69,6.26,1
108,4.07,59,46,5.84,0
156,6.71,63,42,3.42,0
108,9.86,64,40,4.32,0
109,9.07,75,75,9.06,0
141,6.81,60,64,7.0,1
122,9.23,69,76,8.09,0
129,9.91,63,40,5.09,1
128,7.95,83,54,6.67,0
90,2.52,81,76,3.24,1
100,5.21,69,52,7.35,1
146,8.7,61,79,4.85,0
139,3.84,67,47,4.98,0
112,8.65,46,44,6.84,0
120,2.96,74,99,9.43,0
131,2.38,94,48,1.58,1
96,5.07,67,40,8.42,1
105,2.29,53,75,3.63,0
149,9.66,95,74,5.0,0
91,8.61,49,41,1.2,1
90,8.41,55,79,3.71,0
137,7.04,55,62,5.52,1
101,3.73,93,48,1.51,0
158,6.15,70,73,5.42,1
126,6.78,81,85,9.34,1
121,6.2,64,53,1.95,1
98,4.08,52,43,7.88,1
108,6.12,45,69,4.69,1
137,5.93,83,70,6.9,0
92,9.97,48,77,3.34,1
109,9.18,84,50,2.44,0
113,5.71,75,74,2.44,1
143,6.98,95,47,1.63,1
122,7.98,82,42,2.67,0
113,2.28,59,53,6.98,0
125,9.16,57,99,8.94,0
127,8.88,97,52,8.33,0
114,5.66,82,84,7.17,1
107,5.13,96,71,1.99,0
155,4.18,60,73,3.6,1
143,5.81,43,84,3.79,0
124,2.36,89,58,3.25,0
150,8.82,72,98,5.64,1
130,2.28,66,77,5.82,1
122,4.63,46,55,4.21,0
157,9.45,45,41,4.18,1
122,7.88,54,79,8.46,1
103,4.25,57,56,8.1,1
110,4.02,71,94,3.77,1
137,2.04,95,73,9.22,1
109,7.57,50,81,9.58,1
97,2.39,59,99,3.94,1
96,6.26,63,55,4.19,1
156,9.7,54,77,5.55,0
106,2.88,87,99,9.47,1
122,9.16,46,41,8.89,0
137,9.93,60,41,1.92,1
148,2.49,81,65,4.53,1
111,9.06,65,52,5.98,1
119,6.13,83,95,5.53,1
127,9.25,95,86,2.74,0
140,6.57,53,70,8.73,0
143,7.3,96,99,7.09,1
97,6.35,76,73,8.54,0
116,8.92,97,78,8.73,1
116,7.87,60,42,7.74,1
110,6.17,57,47,4.95,0
119,8.95,44,62,6.49,0
117,3.96,42,53,2.44,1
153,3.26,62,95,7.06,1
158,3.28,65,94,2.61,0
150,4.67,76,66,7.25,1
137,3.91,63,93,3.07,0
108,9.44,88,68,2.06,1
93,2.85,58,78,2.49,1
124,7.59,90,92,1.02,0
153,3.51,64,78,7.47,0
138,9.05,60,40,7.59,0
106,9.69,51,56,5.63,1
133,5.72,96,80,2.45,1
119,9.03,80,69,1.75,1
135,2.04,72,92,1.17,1
95,8.56,89,52,2.49,0
126,3.83,92,60,9.02,1
113,9.27,43,58,3.17,1
135,2.01,81,92,4.19,1
142,6.45,96,58,1.95,0
149,8.05,46,96,3.0,1
152,4.07,61,64,5.67,1
121,3.55,94,61,6.47,0
122,2.67,72,70,3.21,1
156,4.61,56,56,1.52,1
107,6.48,63,94,4.52,0
114,2.93,73,62,3.11,1
143,5.01,67,71,2.98,1
147,2.07,97,49,9.64,1
156,8.55,82,49,6.55,0
135,3.03,80,75,6.01,1
113,4.27,78,47,4.74,1
121,2.15,61,93,4.86,0
136,5.46,88,91,5.87,0
112,8.72,56,59,7.27,1
155,5.14,73,71,7.32,1
116,3.44,45,89,2.55,1
91,8.03,85,53,5.5,1
106,8.31,45,89,4.71,0
122,3.39,73,67,8.83,1
98,8.17,40,85,6.68,0
132,9.58,49,91,5.79,0
137,3.33,60,92,2.04,1
128,8.17,44,63,6.45,1
131,7.67,41,54,2.05,0
115,5.79,61,61,4.03,0
139,2.46,87,69,2.29,1
114,2.6,96,43,7.23,0
113,8.82,41,52,2.86,1
102,9.92,49,98,4.53,1
149,7.41,73,62,9.06,0
96,5.57,55,47,2.84,0
146,7.18,87,57,5.57,1
125,6.76,90,51,4.77,0
134,5.07,78,94,1.16,1
109,2.53,61,70,8.13,1
154,8.57,51,53,1.62,1
97,4.97,63,73,5.27,0
105,8.55,86,57,6.05,1
103,4.02,79,95,6.66,1
104,2.01,77,73,7.2,1
155,3.27,99,50,3.28,1
121,5.75,98,80,1.09,1
152,9.55,49,51,7.51,1
140,2.82,74,88,5.82,1
114,8.83,90,54,8.53,1
147,6.22,88,96,8.39,1
152,8.61,71,70,8.59,1
151,4.39,46,88,5.37,1
111,8.72,60,97,4.0,0
147,8.18,59,68,8.12,1
147,3.84,65,65,5.06,1
138,3.05,43,57,2.65,1
141,8.94,85,71,8.69,0
131,9.71,91,61,8.94,1
159,2.25,61,77,5.2,0
104,7.85,54,56,1.68,1
143,9.28,95,62,4.49,1
149,8.86,79,63,8.23,0
97,9.72,60,89,9.12,1
142,8.08,54,47,2.83,0
149,5.54,61,80,1.6,0
94,4.5,91,45,8.9,1
157,4.57,67,44,4.5,1
95,7.8,53,83,5.88,1
136,7.97,66,96,9.71,1
144,3.6,80,68,1.6,0
129,8.94,79,67,6.83,0
141,7.72,97,50,1.67,1
105,6.5,67,96,4.38,0
102,5.77,65,40,8.23,0
119,6.35,88,82,4.9,1
108,3.27,41,58,9.97,0
106,3.63,64,48,6.03,0
152,2.73,95,66,3.89,1
108,3.23,42,73,2.98,0
147,5.63,47,83,4.15,1
144,6.24,83,43,4.35,0
151,2.14,72,75,1.62,1
112,8.37,81,57,4.33,0
98,4.35,91,54,5.18,0
101,9.29,74,90,7.5,1
90,9.74,45,52,6.91,1
147,3.48,78,58,7.38,1
90,5.7,91,88,1.08,1
123,2.01,62,45,2.96,0
137,6.79,64,87,6.96,0
90,6.86,98,95,5.36,0
105,3.98,89,51,1.05,1
150,6.47,82,90,8.24,0
153,3.8,58,76,7.96,0
152,3.29,44,56,5.94,1
158,7.21,90,97,1.6,1
111,4.61,50,62,7.9,0
156,6.72,95,65,6.25,1
115,5.47,51,68,8.04,0
105,9.87,49,72,7.77,0
140,3.2,47,99,8.23,1
146,5.72,63,66,5.66,0
118,7.44,99,64,2.26,1
158,5.16,67,95,7.04,1
136,9.8,80,94,6.58,0
151,7.78,75,49,7.68,0
158,7.26,76,86,2.53,0
105,8.06,60,62,2.75,1
137,9.62,47,60,9.01,0
128,9.26,94,60,7.75,1
122,7.79,48,82,9.17,1
112,7.99,86,52,7.83,0
99,3.17,54,76,6.37,1
158,2.82,87,72,6.89,0
123,6.57,85,63,9.0,0
141,2.15,79,83,6.21,0
99,5.86,57,50,6.69,0
108,3.68,81,56,2.41,0
147,4.77,99,43,5.27,0
90,8.21,59,86,7.45,0
158,9.53,45,64,3.44,1
93,2.58,51,69,2.82,0
105,6.27,41,48,3.82,1
113,9.06,46,60,3.17,1
91,2.66,55,59,2.93,1
121,8.6,42,58,4.82,0
113,4.86,84,58,9.17,1
101,4.58,42,51,5.56,1
139,9.82,66,76,2.69,0
124,3.61,89,81,1.69,0
122,7.55,82,56,7.27,1
122,8.57,79,76,4.45,0
150,2.33,77,93,8.4,0
140,7.36,72,87,6.94,0
132,9.61,67,78,8.17,0
101,2.99,40,67,3.45,1
156,9.17,94,80,7.23,0
154,6.76,47,74,3.38,0
122,6.93,76,86,9.45,0
129,6.9,71,87,6.73,1
132,4.39,99,57,3.92,1
133,9.48,87,53,3.43,0
118,9.58,82,74,2.72,0
102,7.0,76,83,7.25,1
101,8.27,43,80,2.97,0
135,6.9,69,99,6.36,0
91,5.88,45,46,3.38,1
124,7.29,85,80,6.96,0
97,6.42,93,52,8.33,0
115,6.78,58,57,8.0,1
123,8.27,71,76,7.85,1
96,5.85,48,52,2.69,0
157,2.33,51,75,1.8,1
147,3.31,50,70,7.29,0
118,5.51,85,41,4.32,0
125,7.8,94,55,4.89,0
110,6.75,55,48,1.28,1
125,7.2,40,48,3.34,1
99,5.83,84,77,1.3,0
113,6.93,94,50,8.91,0
153,4.63,92,93,3.19,1
138,5.76,60,95,6.02,1
125,7.95,69,61,1.35,1
113,8.97,52,72,7.0,0
112,5.47,73,75,3.91,1
151,2.35,43,84,9.08,1
126,3.29,67,62,8.99,0
101,2.17,77,84,3.93,0
144,7.23,97,84,9.11,0
102,4.66,70,73,9.97,1
112,6.34,98,48,8.43,0
119,5.95,94,63,8.6,0
106,2.65,66,47,3.24,0
151,5.23,44,46,6.19,0
102,3.76,64,75,1.61,1
148,5.35,42,57,1.85,0
108,3.63,72,42,9.99,1
138,8.72,43,67,3.94,1
101,3.39,64,45,7.73,1
150,9.69,59,83,8.26,0
108,5.33,73,83,8.72,1
98,8.77,65,60,9.98,0
117,7.03,44,67,3.17,0
141,7.88,74,79,1.36,0
105,8.14,67,93,4.7,1
158,6.04,68,93,2.17,0
101,6.35,48,40,1.2,0
114,6.11,91,75,4.24,0
141,6.7,77,60,8.05,1
142,2.24,89,99,6.1,1
112,5.16,45,82,3.82,1
105,6.85,58,74,6.89,0
146,6.78,99,52,3.09,1
128,8.34,83,96,1.13,0
142,7.24,96,88,7.88,0
131,9.94,50,93,6.61,1
147,4.27,41,93,7.86,0
128,4.87,86,49,1.35,1
103,5.07,83,92,8.53,0
94,5.73,83,83,6.58,1
124,8.69,48,86,6.07,0
107,3.89,60,92,6.62,0
98,8.21,63,49,8.78,0
147,5.24,73,85,6.28,0
106,6.81,61,52,6.23,0
96,7.06,42,76,9.92,1
135,4.98,51,77,7.81,0
102,6.1,67,63,4.98,1
129,5.3,69,41,7.37,1
131,2.55,65,61,4.5,1
98,5.5,87,56,3.06,0
139,2.78,60,75,6.37,0
116,5.24,67,53,9.35,0
155,6.74,95,49,9.36,1
94,6.64,65,74,4.08,0
118,7.3,72,64,5.75,0
126,2.76,60,42,2.9,1
127,7.22,74,86,9.96,1
97,4.5,91,77,9.83,1
154,5.19,73,56,6.85,1
106,8.86,80,51,8.24,1
134,2.07,90,93,7.44,1
93,6.71,86,91,6.34,0
125,6.79,57,63,1.48,1
159,5.17,97,68,5.09,0
120,3.9,50,82,7.07,0
108,3.88,96,64,7.1,0
150,9.07,62,75,4.36,1
143,5.54,87,97,9.48,0
128,4.65,61,99,2.51,1
108,5.59,56,65,5.5,1
128,7.36,44,77,7.22,0
156,3.17,83,40,7.27,1
134,5.6,50,59,6.84,0
102,6.7,69,94,3.48,0
147,9.59,54,67,2.41,1
109,4.02,66,55,6.72,0
150,4.87,74,86,6.39,0
128,5.03,72,56,2.61,0
90,6.84,59,79,7.35,1
92,4.85,55,67,5.1,0
151,6.27,73,97,7.01,1
152,8.25,41,51,8.54,1
114,7.64,74,66,2.53,0
145,5.57,79,93,1.17,0
122,8.91,95,92,8.01,1
127,6.47,67,81,6.49,1
95,6.32,86,98,7.3,0
147,2.27,78,86,8.54,0
133,9.89,45,69,8.23,1
134,2.98,48,80,9.65,1
121,3.85,59,73,5.82,1
134,2.41,99,76,5.4,1
150,7.12,40,45,4.62,1
136,3.8,47,46,2.38,0
110,3.44,94,71,6.15,1
125,2.71,62,71,3.49,1
108,2.83,42,92,9.29,0
109,6.68,43,64,6.25,0
146,7.51,97,72,6.34,1
107,5.18,64,94,4.19,1
136,5.84,86,97,1.47,0
138,7.49,77,46,1.29,1
103,2.14,54,91,4.81,1
104,4.59,60,96,1.76,0
120,9.78,74,51,6.46,1
90,6.64,96,55,8.93,0
143,4.03,92,55,8.95,0
92,6.17,92,82,6.93,0
105,4.74,85,92,2.9,0
146,6.26,91,75,8.77,1
101,3.01,53,52,8.97,0
105,3.06,75,46,2.77,1
113,3.15,51,75,7.64,1
117,9.52,56,86,3.58,1
97,7.86,78,90,8.22,1
125,3.3,48,48,9.98,1
97,3.51,74,71,1.27,0
147,7.85,99,50,9.08,0
149,3.25,52,47,6.6,0
139,3.88,54,72,9.76,0
117,9.71,57,62,5.19,1
130,4.04,90,64,8.63,0
153,7.29,72,95,1.56,1
116,9.83,45,47,4.02,1
152,4.99,98,84,1.6,0
106,2.14,66,61,9.78,0
122,3.95,62,98,8.35,0
118,8.65,98,43,8.67,0
102,8.92,66,79,9.44,1
135,8.15,73,42,1.77,1
124,2.9,95,68,4.47,0
95,8.36,85,80,1.64,1
158,9.35,77,68,2.9,1
136,6.8,53,73,3.06,1
114,9.53,75,73,5.22,0
155,8.61,92,67,3.42,1
99,7.34,47,52,1.91,0
145,6.62,74,54,2.51,0
119,4.79,58,99,2.33,1
94,3.27,69,62,9.76,1
122,6.84,53,83,7.83,0
154,4.54,98,65,9.71,1
107,8.93,59,43,4.96,1
138,9.95,88,65,3.51,0
100,8.02,64,79,8.18,0
115,2.72,79,48,3.94,0
152,4.31,63,94,3.69,0
148,2.87,53,44,3.09,1
116,7.2,65,95,2.17,1
138,8.12,77,71,3.31,0
122,9.41,62,59,4.2,0
90,5.51,61,89,7.07,0
110,9.21,87,50,1.56,1
144,9.02,96,54,2.89,0
95,4.54,58,71,8.28,1
158,8.95,85,67,2.32,0
94,5.01,90,61,4.08,0
92,4.37,42,80,8.78,0
142,7.19,81,56,2.39,1
112,4.63,58,98,1.74,1
142,7.04,48,65,5.36,1
126,6.88,67,83,3.72,0
106,6.51,59,46,6.07,1
90,5.04,84,81,8.23,1
140,6.39,46,96,2.23,0
134,6.77,53,65,6.23,0
93,6.37,48,64,5.55,1
151,5.56,98,49,2.3,1
154,2.12,99,98,6.62,1
121,6.7,94,84,3.46,1
123,3.35,96,58,5.39,0
128,7.14,99,50,1.74,0
115,8.07,58,52,5.14,0
123,6.0,86,92,3.76,1
143,6.34,91,47,8.4,1
92,9.61,53,79,1.51,0
139,8.78,95,43,4.77,0
101,9.31,77,86,5.13,1
154,8.51,92,70,7.53,1
143,2.87,75,67,6.17,0
94,3.19,79,50,7.0,0
146,6.21,56,82,7.99,0
106,3.97,69,40,8.76,1
136,5.81,48,88,3.82,1
112,5.15,72,86,5.84,1
103,6.4,95,91,8.56,1
155,7.98,91,77,9.91,1
140,7.72,64,63,9.01,1
127,6.17,53,93,4.34,0
153,8.58,50,99,2.76,0
127,5.45,92,96,5.4,1
139,9.17,74,86,7.67,0
119,2.57,80,70,5.43,1
140,9.64,98,80,5.35,0
152,7.24,53,85,8.54,1
141,5.04,69,89,4.25,0
127,3.58,80,65,8.74,0
119,5.83,43,88,4.66,1
140,3.56,98,89,3.95,1
94,3.33,43,44,5.09,0
118,6.94,67,59,7.86,0
93,6.18,47,91,2.13,1
99,7.36,41,80,2.77,0
145,9.44,80,50,9.56,1
106,6.26,85,95,2.58,1
106,6.65,61,93,6.11,0
158,2.72,80,72,6.21,1
123,7.74,95,89,5.41,0
95,5.2,94,77,6.8,0
142,9.81,55,66,3.07,1
155,8.59,68,73,5.97,0
132,6.18,88,54,4.35,1
112,2.99,87,71,6.96,1
144,8.88,69,97,2.27,1
105,8.4,51,60,6.14,0
97,3.48,74,85,2.67,1
93,4.36,50,44,3.51,0
93,8.35,85,45,2.97,1
145,3.48,89,77,2.65,1
114,9.34,60,61,8.43,1
156,5.4,60,57,3.57,0
156,2.7,44,53,9.34,0
116,8.53,87,49,9.73,1
121,4.99,59,85,6.14,1
139,6.21,76,52,2.29,0
150,2.9,42,70,4.37,0
140,2.02,83,69,8.18,0
108,7.1,72,42,4.31,1
110,6.12,92,69,1.78,0
94,6.75,48,45,6.01,1
131,8.35,48,68,8.61,0
150,7.17,43,47,8.16,1
111,3.4,74,83,2.58,1
110,4.89,56,84,7.05,1
159,9.25,73,82,2.98,0
90,8.16,63,83,2.96,0
94,6.45,71,72,8.87,0
101,4.05,40,56,3.25,1
135,4.42,47,87,3.37,1
123,7.86,84,50,1.01,0
138,8.81,62,52,8.84,1
134,7.37,86,89,8.13,1
116,8.48,79,50,6.65,1
115,8.13,51,70,7.75,0
136,3.2,93,67,2.37,1
145,5.39,51,83,5.12,0
152,3.22,85,45,4.16,0
137,3.88,86,80,1.84,0
150,8.95,54,55,5.38,0
115,5.78,80,43,9.29,0
125,6.28,58,74,1.36,1
90,3.43,65,99,3.62,0
97,4.5,91,87,2.87,0
141,3.84,68,95,3.14,0
136,3.65,61,98,9.18,1
145,7.1,79,65,5.21,1
103,4.06,60,96,5.2,1
117,7.06,90,51,7.85,1
91,2.47,77,50,2.39,0
115,3.13,59,76,5.39,0
103,4.2,96,64,4.87,1
148,6.78,68,57,6.37,1
145,7.41,90,58,10.0,1
96,5.54,43,62,7.93,1
92,5.57,94,94,4.58,0
112,7.8,46,77,8.45,1
107,2.13,67,93,2.54,1
127,4.73,67,57,1.27,1
104,8.55,43,65,2.84,1
153,6.83,61,45,4.06,1
117,4.7,51,43,5.6,1
128,9.24,84,83,6.54,1
146,8.18,42,90,9.2,0
106,4.12,61,68,5.59,0
133,7.16,83,98,5.51,0
114,6.77,41,73,1.45,0
106,5.21,63,56,1.31,0
102,4.94,73,82,5.96,0
114,4.75,66,82,4.94,1
157,6.94,94,92,8.55,1
99,5.54,80,55,2.45,0
156,8.65,40,41,1.22,1
107,7.36,47,73,5.04,0
123,2.56,62,94,3.14,1
97,7.12,77,47,1.45,1
129,4.17,45,52,7.52,1
131,6.74,61,81,2.0,1
130,7.44,64,47,6.47,1
95,3.85,57,69,3.53,1
141,5.65,56,71,2.56,0
115,3.52,51,75,4.42,0
153,2.42,45,86,8.21,1
148,5.03,65,69,4.53,0
145,4.9,66,40,7.76,1
148,9.96,47,82,2.13,0
159,5.57,58,78,7.95,1
122,4.67,99,56,3.13,0
142,6.64,81,98,7.1,1
111,2.71,40,59,6.09,0
110,9.69,96,63,9.36,1
159,7.08,68,89,4.49,0
159,8.04,84,61,1.6,1
93,3.36,88,68,1.17,1
151,5.28,74,61,8.44,1
151,5.38,79,83,5.72,0
113,8.57,53,48,7.98,0
144,2.01,74,76,3.11,0
98,4.41,87,49,4.11,1
92,9.85,84,75,1.27,0
120,5.8,59,76,9.65,1
129,5.06,95,67,7.01,0
125,2.96,88,67,9.4,0
113,9.79,52,81,3.39,0
95,2.16,77,82,6.5,0
155,7.9,88,60,7.11,1
93,8.15,85,63,3.86,0
95,3.95,88,81,8.63,0
140,7.37,47,99,9.52,1
151,2.74,82,79,8.96,1
146,4.06,59,41,7.65,0
155,8.3,99,94,3.5,0
97,8.92,72,47,3.53,1
115,6.87,65,87,9.67,1
140,6.05,78,66,1.09,1
134,3.27,60,61,7.44,0
133,2.5,92,76,7.36,0
94,2.94,88,66,6.6,0
159,3.82,81,96,9.91,1
115,4.73,82,68,3.81,1
157,5.05,93,42,4.06,1
108,4.77,80,83,1.71,0
109,3.91,48,52,4.99,1
101,6.08,63,84,3.35,0
136,8.6,76,49,4.09,1
90,4.24,88,75,8.51,0
103,9.54,80,48,9.42,0
153,8.99,56,93,2.67,1
127,3.29,63,95,4.35,0
126,8.29,60,94,9.36,1
100,6.6,90,66,1.56,0
92,6.53,98,73,1.83,1
122,5.13,78,90,2.47,1
95,6.01,94,40,6.36,0
139,5.18,80,71,2.35,1
99,6.32,78,64,9.71,0
94,7.02,52,68,5.02,1
112,7.39,50,46,5.51,1
99,6.26,85,88,3.22,1
133,7.77,58,42,5.24,1
91,3.13,50,59,6.96,0
102,3.7,52,59,7.76,1
129,8.55,85,92,7.78,1
91,4.58,84,69,6.2,0
154,2.18,40,74,9.14,0
152,3.23,79,74,8.36,0
106,3.79,83,88,7.81,0
98,9.66,58,78,1.5,0
104,6.58,51,66,1.06,0
113,9.46,47,65,2.91,1
127,6.6,47,53,6.97,0
124,5.83,92,56,4.7,1
138,4.51,84,57,4.62,0
158,6.85,51,84,8.96,1
151,3.11,87,91,9.06,1
149,9.19,72,68,9.18,1
139,8.63,84,59,3.82,0
98,4.54,65,92,7.22,0
123,9.62,78,66,3.44,0
124,8.6,67,57,2.72,0
90,7.33,97,43,2.66,1
129,2.97,44,40,4.08,0
153,5.83,47,89,4.87,1
111,6.05,64,40,8.48,1
149,3.86,66,97,2.08,0
153,2.64,85,65,7.61,0
100,8.21,62,84,5.78,0
103,2.98,69,59,3.59,1
149,6.75,84,91,5.44,0
119,9.49,86,62,3.7,1
124,9.01,62,49,6.36,0
126,4.22,88,98,4.9,1
94,8.81,86,50,2.48,0
115,2.0,59,80,2.05,0
151,2.14,57,80,5.92,1
93,6.82,57,44,9.12,0
131,4.92,41,97,4.1,0
107,5.09,43,40,7.6,0
129,6.52,69,56,6.93,0
128,3.53,72,61,9.38,0
103,3.69,75,73,8.39,0
121,5.88,57,95,6.1,0
140,8.03,76,84,6.91,1
127,6.96,58,80,9.09,1
112,4.38,86,68,4.6,0
152,5.44,67,43,3.94,0
104,3.37,79,44,1.1,0
114,2.6,59,50,8.44,1
106,8.26,88,95,8.21,1
155,4.12,72,90,1.94,0
142,3.42,51,60,6.19,1
140,7.53,97,74,5.18,0
128,6.94,90,51,2.07,0
140,7.07,54,65,9.83,0
159,3.83,80,90,2.93,0
95,3.86,78,58,1.61,1
156,3.77,41,84,6.35,1
96,3.39,68,99,7.65,0
140,7.25,80,46,1.29,1
131,8.78,49,86,6.93,1
153,7.79,41,94,5.79,0
104,8.34,90,46,1.93,1
118,5.24,50,65,2.55,0
122,7.23,52,79,6.11,0
116,4.83,49,44,3.67,0
125,6.2,53,60,9.44,0
118,5.85,57,53,8.37,1
127,3.42,90,43,9.85,0
146,5.1,93,62,3.34,1
116,9.71,48,81,9.73,0
144,3.99,96,59,4.88,0
122,3.07,78,54,4.13,1
157,5.35,67,89,1.45,0
155,8.32,42,91,1.47,1
99,6.66,59,84,7.23,1
94,7.45,45,68,5.12,0
127,3.52,66,47,3.04,0
102,6.95,92,80,6.53,0
120,4.59,41,87,3.28,0
136,8.67,68,58,6.2,0
141,7.03,77,87,4.23,0
145,3.59,42,78,8.41,1
104,2.52,55,85,8.39,1
118,2.34,69,67,5.3,0
97,4.97,79,85,4.16,1
94,4.13,41,96,4.26,1
118,7.17,56,66,8.25,0
136,5.99,80,43,3.95,0
157,4.13,51,97,2.88,1
134,3.19,74,54,1.76,0
91,3.02,82,74,5.2,1
116,8.92,40,76,5.34,0
125,3.95,94,40,8.57,1
125,7.21,84,42,2.99,1
115,8.49,54,86,4.43,1
